Station,Station ID,First usable year,Last usable year,Usable years
Atlin,34,1991,2025,33
Barlow,1,1989,2025,33
Beaver Creek,2,1981,2021,35
Braeburn,3,1988,2025,38
Burwash,4,1981,2025,45
Carmacks,5,1981,2025,45
Dawson,6,1981,2025,45
Faro,9,1986,2025,40
Hasselberg,14,1990,2025,31
Henderson,15,1989,2025,33
Mayo,17,1981,2025,45
Nursery,19,1988,2025,38
Old Crow,20,1985,2025,38
Pelly Farm,21,1981,2025,36
Ross River,22,1981,2025,41
Teslin,26,1981,2025,45
Watson Lake Airport,29,1981,2025,45
Whitehorse,30,1981,2025,45
